date,DSE,Bank,Cement,Ceramics,Engineering,NBFI,Food,Fuel,Insurance,IT,Jute,Miscellaneous,Mutual_Fund,Paper,Pharmaceuticals,Service_Real_Estate,Tannery,Textile,Travel_Leisure,Telecommunication,Total Volume,DSEX
3/3/2025,3604.89,3284.23,2297.03,746.296,1835.51,1284.69,18678.4,2055.51,3140.12,1580.02,5858.81,3954.17,501.266,196.384,4344.04,2420.81,2513.82,1840.7,1370.64,4466.67,140724269,5220.66506
3/2/2025,3615.73,3294.29,2294.35,736.273,1852.64,1287.26,18769.4,2063.3,3143.87,1602.67,5902.64,3964.33,506.152,198.292,4350.1,2436.11,2528.63,1855.33,1369.42,4445.61,155913259,5236.84735
2/27/2025,3620.6,3310.18,2305.57,750.062,1845.04,1303.68,18750.6,2056.42,3156.4,1623.28,5920.02,3966.97,507.651,201.882,4337.05,2425.46,2457.48,1858.26,1367.51,4473.94,204134177,5247.30108
2/26/2025,3627.6,3311.92,2298.2,755.246,1827.65,1283.89,19154.5,2060.23,3159.53,1614.23,5774.24,3971.23,506.314,190.494,4344.76,2435.68,2431.27,1844.17,1354.57,4623.66,213505688,5253.78918
2/25/2025,3627.14,3348.86,2296.64,754.699,1824.77,1306.85,18726.6,2056.55,3188.65,1614.69,5746.03,3949.32,506.063,180.812,4344.53,2438.16,2426.83,1839.87,1364.19,4477.75,276714752,5267.88572
2/24/2025,3600.73,3263.43,2291.44,752.257,1828.3,1302.92,18715.7,2061.54,3186.77,1580.54,5704.02,3968.73,505.288,177.848,4332.54,2404.69,2414.78,1863.78,1316.78,4489.03,232450841,5234.94565
2/23/2025,3592.25,3259.91,2282.51,743.434,1821.46,1274.31,18738.6,2061.69,3193.84,1577.91,5681.44,3967.24,507.643,176.204,4316.45,2407.94,2424.22,1844.22,1300.37,4499.96,206354335,5224.3728
2/20/2025,3574.13,3253.28,2289.48,723.268,1799.34,1267.32,18511.7,2047.97,3125.07,1585.94,5749.2,3962.09,493.515,178.051,4301.4,2378.25,2435.35,1838.49,1292.78,4500.27,189042985,5200.37421
2/19/2025,3571.03,3257.01,2293.83,709.255,1789.04,1263.55,18574,2055.39,3124.1,1572.11,5711.33,3961.57,494.912,179.715,4301.76,2377.9,2419.83,1816.84,1281.32,4467.61,159184494,5192.4441
2/18/2025,3580.38,3269.3,2299.89,706.181,1793.25,1273.28,18720.2,2056.53,3126.49,1570.04,5760.3,3952.92,499.851,180.021,4311.55,2393.02,2451.96,1810.61,1295.08,4478.13,220576534,5203.20038
2/17/2025,3585.29,3273.85,2287.62,715.846,1789.19,1282.99,18569.6,2067.48,3111.45,1573.55,5878.53,3964.91,495.913,181.916,4317.6,2424.15,2470.92,1828.18,1298.09,4499.94,154704865,5211.53273
2/16/2025,3574.04,3261.61,2283.47,689.417,1778.57,1281.55,18588.4,2073.14,3119.38,1579.58,5704.03,3969.51,490.298,177.359,4300.51,2399.53,2474.34,1817.02,1289.06,4462.71,162497067,5198.78299
2/13/2025,3573.89,3249.94,2280.02,699.645,1782.31,1286.45,18672.8,2079.45,3124.55,1553.54,5654.39,3967.8,491.132,177.516,4305.59,2416.99,2439.44,1827.46,1292.05,4443.21,175760780,5201.47815
2/12/2025,3566.12,3244.14,2272.9,696.318,1780.46,1283.05,18615.5,2079.75,3121.15,1550.09,5652.2,3964.26,498.088,178.432,4289.22,2423.99,2437.91,1822.18,1299.13,4402.31,164685653,5189.62162
2/11/2025,3566.2,3242.88,2278.71,675.927,1790.44,1297.34,18640.5,2084.26,3137.59,1561.72,5710.58,3977.02,489.079,183.122,4278.6,2443.13,2431.35,1806.04,1315.46,4394.2,196121549,5192.05169
2/10/2025,3552.93,3235.75,2276.08,680.401,1766.62,1285.95,18680.1,2056.38,3109.16,1555.2,5812.23,3978.37,487.525,181.022,4276.65,2452.18,2406.73,1784.35,1288.4,4394.63,162655591,5174.28319
2/9/2025,3550.2,3238.99,2280.06,666.21,1764.97,1301.45,18639.1,2032.41,3142.35,1534.67,5584.09,3975.29,491.842,169.598,4268.61,2411.37,2391.65,1788.79,1282.01,4396.68,168338517,5165.88083
2/6/2025,3561.17,3251.58,2273.88,668.655,1782.28,1298.23,18638.1,2039.09,3163.87,1545.56,5631.66,3967.93,493.577,171.903,4274.69,2446.48,2414.86,1805.06,1287.88,4400.79,194358894,5179.17525
2/5/2025,3553.84,3253.15,2251.76,674.611,1769.85,1251.66,18749.3,2012.08,3166.32,1543.64,5643.81,3947.69,491.37,178.512,4293.58,2368.58,2398.27,1782.29,1290.31,4384.83,211203969,5170.06499
2/4/2025,3539.52,3241.01,2223.99,666.073,1761.74,1234.55,18560.9,1998.64,3173.87,1523.8,5706.17,3950.42,489.753,178.581,4286.11,2357.99,2396.82,1764.27,1282.22,4388.8,171730154,5147.33934
